sample,chrom,read_id,38,50,62,74,86,98,110,122
control,5mers_rand_ref_adapter_01,00154bce-3107-4f8f-a6b5-68bf34b521da,942.1666666666666,793.0,697.8333333333334,869.6666666666666,645.1666666666666,885.6666666666666,663.0,985.0833333333334
control,5mers_rand_ref_adapter_01,001cb0ba-e58f-424c-bb27-409d578155ab,960.6666666666666,887.3333333333334,773.5833333333334,833.2222222222222,637.8333333333334,737.5,919.75,874.4444444444445
control,5mers_rand_ref_adapter_01,0022f124-4485-4ee4-a1bf-ddb60150c81a,813.0833333333334,850.5,800.4166666666666,810.8333333333334,837.5,737.1666666666666,622.6666666666666,809.1666666666666
control,5mers_rand_ref_adapter_01,0028159f-5961-4db9-aa7b-5e54f2b18cd0,934.0,737.8333333333334,907.0,864.0,768.0,811.8333333333334,753.25,822.6666666666666
control,5mers_rand_ref_adapter_01,0040fd63-2886-4b80-bb98-af707abf0b6b,708.0555555555555,743.5,599.3333333333334,1014.1111111111112,876.8333333333334,914.5,820.1666666666666,874.0
control,5mers_rand_ref_adapter_01,005ce0b8-4554-4620-b546-6e3f7797c711,793.8333333333334,707.5,648.6666666666666,873.9166666666666,731.6666666666666,768.5,,861.4166666666666
control,5mers_rand_ref_adapter_01,00634313-44ca-482e-85ae-c7e377dadb34,902.7083333333334,663.3333333333334,903.3333333333334,868.6111111111111,785.4166666666666,784.1666666666666,852.8095238095239,794.25
control,5mers_rand_ref_adapter_01,008c2c80-a997-4a53-bcf7-1ec86faf8d31,864.5833333333334,1095.0,1021.75,850.0416666666666,811.3333333333334,906.3333333333334,842.0,615.3888888888889
control,5mers_rand_ref_adapter_01,0092350e-149e-41a5-ae0d-53d2282cfbcf,831.3333333333334,883.8333333333334,924.6666666666666,852.6666666666666,854.0,866.1666666666666,899.2,848.5555555555555
control,5mers_rand_ref_adapter_01,00b78df9-97fb-4a10-81a3-b885ddf239a1,891.0833333333334,896.5833333333334,957.0,758.1666666666666,709.1666666666666,921.6666666666666,,879.5833333333334
control,5mers_rand_ref_adapter_01,00bf8c43-3061-4c09-8e41-263af3228358,1037.0,709.0,832.6666666666666,834.25,760.5,619.6666666666666,650.0,
